id,繁體字,部首,筆畫,普通話拼音,粵拼,學習階段,字例,相關詞語數目,相關詞語
2154,沸,水,8,fèi,fai3〔肺〕,第二學習階段,,1,沸騰
2156,沾,水,8,zhɑ̄n,zim1〔尖〕,第二學習階段,,0,
2157,油,水,8,yóu,jau4〔尤〕,第一學習階段,,18,油田、油污、油炸鬼、油條、油漆、牛油、黃油、加油、石油、忌廉、奶油、汽油、柏油、原油、菠蘿油、醬油、豉油、蠔油
2158,況,水,8,kuɑ̀ng,fong3〔放〕,第一學習階段,,10,況且、何況、每下愈況、每況愈下、狀況、近況、情況、現況、盛況、概況
2162,泊,水,8,bó；pō,bok6〔薄〕,第一學習階段,,2,停泊、湖泊
2163,波,水,8,bō,bo1〔玻〕,第一學習階段,,9,波子、波音、波浪、波紋、波濤、奔波、風波、微波、聲波
2164,沿,水,8,yɑ́n,jyun4〔元〕,第一學習階段,,4,沿用、沿岸、沿海、沿途
2165,治,水,8,zhì,zi6〔字〕,第一學習階段,,15,治安、治病、治理、治療、治癒、三文治、三明治、自治、自治區、防治、法治、政治、統治、管治、醫治
2166,泡,水,8,pɑ̄o；pɑ̀o,paau1〔拋〕；pou5〔抱〕；paau3〔炮〕,第一學習階段,①眼泡 ②燈泡 ③泡沫 ④泡菜,4,泡沫、氣泡、燈泡、電燈泡
2167,泛,水,8,fɑ̀n,faan3〔販〕,第一學習階段,,1,廣泛
2168,泉,水,9,quɑ́n,cyun4〔全〕,第一學習階段,,2,泉水、礦泉水
2170,洛,水,9,luò,lok3〔駱〕,第二學習階段,,2,海洛英、海洛因
2171,洋,水,9,yɑ́ng,joeng4〔揚〕,第一學習階段,,6,洋娃娃、洋紫荊、洋溢、西洋、汪洋、海洋
2172,洲,水,9,zhōu,zau1〔舟〕,第二學習階段,,3,亞洲、綠洲、歐洲
2173,洪,水,9,hóng,hung4〔紅〕,第二學習階段,,1,洪水
2174,津,水,9,jīn,zeon1〔遵〕,第一學習階段,,3,津津有味、津津樂道、津貼
2176,洞,水,9,dòng,dung6〔動〕,第一學習階段,,3,洞穴、山洞、空洞
2177,洗,水,9,xǐ,sai2〔駛〕,第一學習階段,,5,洗手間、洗滌、洗澡、沖洗、清洗
2178,活,水,9,huó,wut6〔禍末6〕,第一學習階段,,9,活力、活動、活潑、活躍、生活、快活、復活、幹活（兒）、靈活
2179,洽,水,9,qiɑ̀,hap1〔恰〕,第二學習階段,,1,融洽
2180,派,水,9,pɑ̀i,paai3〔排3〕,第一學習階段,,4,派出所、派對、派遣、委派
2181,洶,水,9,xiōng,hung1〔空〕,第二學習階段,,1,洶湧
2183,流,水,10,liú,lau4〔留〕,第一學習階段,,25,流亡、流水、流失、流血、流行、流氓、流浪、流動、流域、流通、流量、流傳、流暢、流露、一流、人流、水流、交流、河流、風流、氣流、溪流、電流、潮流、輪流
2184,浪,水,10,lɑ̀ng,long6〔晾〕,第一學習階段,,8,浪花、浪費、浪漫、浪潮、波浪、流浪、風浪、海浪
2185,涕,水,10,tì,tai3〔替〕,第一學習階段,,1,鼻涕
2188,浸,水,10,jìn,zam3〔針3〕,第一學習階段,,0,
2190,消,水,10,xiɑ̄o,siu1〔燒〕,第一學習階段,,13,消化、消失、消防、消毒、消息、消耗、消除、消費、消極、消滅、消磨、取消、抵消
2193,涉,水,10,shè,sip3〔攝〕,第二學習階段,,4,涉及、涉嫌、干涉、交涉
2194,海,水,10,hɑ̌i,hoi2〔凱〕,第一學習階段,,34,海內、海外、海防、海岸、海底、海拔、海星、海洋、海洛英、海洛因、海軍、海峽、海島、海浪、海域、海產、海豚、海報、海綿、海嘯、海龜、海濱、海鮮、海邊、海關、海藻、海灘、海鷗、海灣、下海、上海、大海、沿海、航海
2195,浮,水,10,fú,fau4〔蜉〕,第一學習階段,,3,浮現、浮萍、浮雕
2197,浴,水,10,yù,juk6〔玉〕,第一學習階段,,4,浴室、浴缸、沐浴、淋浴
2198,浩,水,10,hɑ̀o,hou6〔號〕,第二學習階段,,1,浩浩蕩蕩
2200,涼,水,11,liɑ́ng,loeng4〔良〕,第一學習階段,,6,涼快、涼爽、涼鞋、乘涼、荒涼、清涼
2203,液,水,11,yè,jik6〔亦〕,第一學習階段,,3,液體、血液、唾液
2204,淡,水,11,dɑ̀n,daam6〔啖〕,第一學習階段,,4,淡水、淡忘、平淡、冷淡
2205,淤,水,11,yū,jyu1〔于〕；jyu2〔于2〕,第二學習階段,,1,淤泥
2206,淚,水,11,lèi,leoi6〔慮〕,第一學習階段,,3,淚水、眼淚、熱淚
2207,深,水,11,shēn,sam1〔心〕,第一學習階段,,16,深入、深入淺出、深山、深化、深刻、深夜、深信、深厚、深度、深思、深情、深淺、深遠、加深、高深、資深
2208,淺,水,11,qiɑ̌n,cin2〔錢2〕,第一學習階段,,2,深入淺出、深淺
2209,清,水,11,qīng,cing1〔青〕,第一學習階段,①澄清謠言 ②這水要澄清之後才能用,20,清水、清白、清早、清拆、清洗、清香、清脆、清除、清掃、清晨、清涼、清爽、清理、清晰、清新、清楚、清澈、清潔、清醒、澄清
2210,淇,水,11,qí,kei4〔奇〕,第一學習階段,,3,冰淇淋、冰激凌、雪糕
2211,淋,水,11,lín,lam4〔林〕,第一學習階段,,4,淋浴、冰淇淋、冰激凌、雪糕
2212,涯,水,11,yɑ́,ngaai4〔崖〕,第二學習階段,,2,天涯、生涯
2215,淹,水,11,yɑ̄n,jim1〔醃〕,第一學習階段,,1,淹沒
2219,涵,水,11,hɑ́n,haam4〔咸〕,第二學習階段,,2,涵蓋、內涵
2220,添,水,11,tiɑ̄n,tim1〔甜1〕,第一學習階段,,3,添置、增添、錦上添花
2221,淌,水,11,tɑ̌ng,tong2〔倘〕,第二學習階段,,0,
2224,混,水,11,hùn,wan6〔運〕,第二學習階段,,5,混合、混淆、混亂、混凝土、混濁
2226,淘,水,11,tɑ́o,tou4〔徒〕,第二學習階段,,1,淘汰
2227,淪,水,11,lún,leon4〔倫〕,第二學習階段,,1,淪陷
2229,淨,水,11,jìng,zing6〔靜〕,第一學習階段,,3,淨化、乾淨、潔淨
2230,淆,水,11,xiɑ́o,ngaau4〔肴〕,第二學習階段,,1,混淆
2232,淵,水,12,yuɑ̄n,jyun1〔冤〕,第二學習階段,,1,淵源
2233,游,水,12,yóu,jau4〔由〕,第一學習階段,,9,游泳、游泳池、泳池、游説、遊記、游記、下游、上游、中游
2235,渡,水,12,dù,dou6〔杜〕,第一學習階段,,3,渡過、偷渡、過渡
2236,渲,水,12,xuɑ̀n,syun3〔算〕；hyun1〔圈〕,第二學習階段,,1,渲染
2237,渾,水,12,hún,wan4〔云〕,第二學習階段,,1,渾身
2238,港,水,12,gɑ̌ng,gong2〔講〕,第一學習階段,,4,港口、港元、港幣、香港
2239,湧,水,12,yǒng,jung2〔擁〕,第二學習階段,,1,洶湧
2240,湊,水,12,còu,cau3〔臭〕,第二學習階段,,2,湊巧、緊湊
2241,渠,水,12,qú,keoi4〔瞿〕,第一學習階段,,1,渠道
2243,渣,水,12,zhɑ̄,zaa1〔楂〕,第二學習階段,,1,渣滓
2247,湖,水,12,hú,wu4〔狐〕,第一學習階段,,1,湖泊
2249,溉,水,12,gɑ̀i,koi3〔鈣〕,第一學習階段,,1,灌溉
2252,湯,水,12,tɑ̄ng,tong1〔鏜〕,第一學習階段,,1,落湯雞
2253,渴,水,12,kě,hot3〔喝〕,第一學習階段,,2,渴望、口渴
2255,渺,水,12,miɑ̌o,miu5〔秒〕,第一學習階段,,2,渺小、渺茫
2256,測,水,12,cè,cak1〔惻〕；caak1〔雌軛1〕,第一學習階段,,9,測量、測試、測驗、探測、推測、猜測、預測、檢測、觀測
2257,減,水,12,jiɑ̌n,gaam2〔監2〕,第一學習階段,,5,減少、減肥、減弱、減價、削減
2258,湃,水,12,pɑ̀i,baai3〔拜〕,第二學習階段,,1,澎湃
2261,温,水,12,wēn,wan1〔瘟〕,第一學習階段,,10,温和、温度、温度計、温柔、温習、温暖、温馨、保温、氣温、體温
2262,溯,水,13,sù,sou3〔素〕,第二學習階段,,1,追溯
2263,滓,水,13,zǐ,zi2〔子〕,第二學習階段,,1,渣滓
2264,溶,水,13,róng,jung4〔容〕,第二學習階段,,1,溶解
2266,溢,水,13,yì,jat6〔日〕,第二學習階段,,1,洋溢
2267,源,水,13,yuɑ́n,jyun4〔元〕,第一學習階段,,9,源源不絕、水源、來源、根源、能源、起源、淵源、資源、電源
2268,溝,水,13,gōu,kau1〔鳩〕,第一學習階段,,2,溝通、水溝
2270,滅,水,13,miè,mit6〔蔑〕,第一學習階段,,7,滅亡、滅火、滅火筒、消滅、毀滅、熄滅、殲滅
2273,溺,水,13,nì,nik6〔挪力6〕,第二學習階段,,2,溺愛、遇溺
2274,滋,水,13,zī,zi1〔之〕,第一學習階段,,3,滋味、滋潤、愛滋病
2275,滑,水,13,huɑ́,waat6〔猾〕；gwat1〔骨〕,第一學習階段,,6,滑坡、滑鼠、滑稽、滑輪、平滑、光滑
2276,準,水,13,zhǔn,zeon2〔准〕,第一學習階段,,8,準則、準時、準備、準確、水準、對準、瞄準、標準
2277,溜,水,13,liū,lau6〔漏〕,第二學習階段,,0,
2278,滄,水,13,cɑ̄ng,cong1〔倉〕,第二學習階段,,1,滄桑
2279,滔,水,13,tɑ̄o,tou1〔叨〕,第一學習階段,,1,滔滔不絕
2280,溪,水,13,xī,kai1〔稽〕,第一學習階段,,1,溪流
2282,演,水,14,yɑ̌n,jin2〔堰〕,第一學習階段,,18,演出、演奏、演員、演唱、演習、演算、演戲、演講、演藝、演變、演説、上演、主演、扮演、表演、匯演、飾演、導演
2283,滾,水,14,gǔn,gwan2〔君2〕,第一學習階段,,3,滾動、滾筒、滾滾
2285,滴,水,14,dī,dik6〔敵〕,第一學習階段,,1,水滴
2287,漾,水,14,yɑ̀ng,joeng6〔樣〕,第二學習階段,,1,蕩漾
2289,漬,水,14,zì,zik1〔即〕,第二學習階段,,1,污漬
2290,漏,水,14,lòu,lau6〔陋〕,第一學習階段,,1,泄漏
2291,漂,水,14,piɑ̀o；piɑ̄o；piɑ̌o,piu1〔飄〕；piu3〔票〕,第二學習階段,①漂浮 ②漂白 ③漂亮,1,漂亮
2292,漢,水,14,hɑ̀n,hon3〔看〕,第一學習階段,,4,漢子、漢字、漢語、大漢
2293,滿,水,14,mɑ̌n,mun5〔門5〕,第一學習階段,,16,滿月、滿足、滿面、滿腔、滿意、滿載、人滿之患、不滿、心滿意足、充滿、美滿、期滿、琳瑯滿目、圓滿、飽滿、豐滿
2294,滯,水,14,zhì,zai6〔劑6〕,第二學習階段,,1,滯留
2295,漆,水,14,qī,cat1〔七〕,第二學習階段,,2,漆黑、油漆
2296,漱,水,14,shù,sau3〔秀〕,第一學習階段,,1,漱口
2297,漸,水,14,jiɑ̀n,zim6〔尖6〕,第一學習階段,,4,漸漸、日漸、逐漸、循序漸進
2298,漲,水,14,zhɑ̌ng；zhɑ̀ng,zoeng3〔帳〕,第一學習階段,①上漲 ②頭昏腦漲,1,上漲
2301,漠,水,14,mò,mok6〔莫〕,第一學習階段,,1,沙漠
2302,漫,水,14,mɑ̀n,maan6〔慢〕,第一學習階段,,6,漫步、漫長、漫畫、漫遊、浪漫、瀰漫
2303,滌,水,14,dí,dik6〔滴〕,第二學習階段,,1,洗滌
2305,漁,水,14,yú,jyu4〔如〕,第一學習階段,,5,漁民、漁產、漁船、漁業、漁穫
2306,滲,水,14,shèn,sam3〔沁〕,第一學習階段,,0,
2307,漿,水,15,jiɑ̄ng,zoeng1〔張〕,第二學習階段,,1,漿糊
2308,澈,水,15,chè,cit3〔設〕,第二學習階段,,1,清澈
2310,澄,水,15,chéng；dèng,cing4〔程〕；dang6〔鄧〕,第二學習階段,①澄清謠言 ②這水要澄清之後才能用,1,澄清
2311,潑,水,15,pō,put3〔婆活3〕,第二學習階段,,1,活潑
2312,潦,水,15,liɑ́o,liu4〔聊〕；lou5〔老〕,第一學習階段,,2,潦倒、潦草
2313,潔,水,15,jié,git3〔結〕,第一學習階段,,7,潔白、潔淨、清潔、皎潔、廉潔、整潔、簡潔
2314,澆,水,15,jiɑ̄o,giu1〔嬌〕,第一學習階段,,0,
2315,潭,水,15,tɑ́n,taam4〔談〕,第二學習階段,,0,
2316,潛,水,15,qiɑ́n,cim4〔簽4〕,第二學習階段,,4,潛力、潛水、潛伏、潛能
2318,潮,水,15,chɑ́o,ciu4〔憔〕,第二學習階段,,8,潮水、潮流、潮濕、工潮、浪潮、高潮、新潮、熱潮
2319,澎,水,15,péng,paang4〔棚〕,第二學習階段,,1,澎湃
2321,潤,水,15,rùn,jeon6〔閏〕,第二學習階段,,3,利潤、滋潤、濕潤
2323,潰,水,15,kuì,kui2〔繪〕,第二學習階段,,1,崩潰
2326,澱,水,16,diɑ̀n,din6〔電〕,第二學習階段,,1,澱粉
2327,澡,水,16,zɑ̌o,cou3〔醋〕；zou2〔早〕,第一學習階段,,1,洗澡
2328,濃,水,16,nóng,nung4〔農〕,第二學習階段,,5,濃厚、濃度、濃郁、濃烈、濃密
2329,澤,水,16,zé,zaak6〔宅〕,第二學習階段,,3,光澤、色澤、沼澤
2330,濁,水,16,zhuó,zuk6〔俗〕,第二學習階段,,1,混濁
2333,激,水,16,jī,gik1〔擊〕,第一學習階段,,17,荷爾蒙、激素、激烈、激動、激情、激發、激增、激戰、激勵、鐳射、雷射、激光、冰淇淋、冰激凌、雪糕、刺激、感激
2335,濕,水,17,shī,sap1〔拾1〕,第一學習階段,,3,濕度、濕潤、潮濕
2336,濘,水,17,nìng,ning6〔佞〕,第二學習階段,,1,泥濘
2337,濱,水,17,bīn,ban1〔奔〕,第二學習階段,,1,海濱
2338,濟,水,17,jì,zai3〔制〕,第二學習階段,,3,救濟、無濟於事、經濟
2340,濤,水,17,tɑ̄o,tou4〔桃〕,第二學習階段,,1,波濤
2341,濫,水,17,lɑ̀n,laam6〔艦〕,第二學習階段,,2,濫用、氾濫
2343,澀,水,17,sè,saap3〔圾〕；gip3〔劫〕,第二學習階段,,1,苦澀
2347,瀉,水,18,xiè,se3〔舍〕,第二學習階段,,1,傾瀉
2350,濾,水,18,lǜ,leoi6〔淚〕,第一學習階段,,2,濾水、過濾
2351,濺,水,18,jiɑ̀n,zin3〔箭〕,第一學習階段,,0,
2352,瀑,水,18,pù,buk6〔僕〕,第二學習階段,,1,瀑布
2353,瀏,水,18,liú,lau4〔留〕,第二學習階段,,1,瀏覽
2357,瀝,水,19,lì,lik6〔力〕,第二學習階段,,1,瀝青
2358,瀕,水,19,bīn,pan4〔貧〕,第二學習階段,,1,瀕臨
2360,瀰,水,20,mí,nei4〔尼〕；mei4〔眉〕,第二學習階段,,1,瀰漫
2361,瀟,水,21,xiɑ̄o,siu1〔宵〕,第二學習階段,,1,瀟灑
2362,灌,水,21,guɑ̀n,gun3〔貫〕,第二學習階段,,1,灌溉
2363,灑,水,22,sɑ̌,saa2〔耍〕,第一學習階段,,1,瀟灑
2364,灘,水,22,tɑ̄n,taan1〔攤〕,第一學習階段,,3,沙灘、泳灘、海灘
2365,灣,水,25,wɑ̄n,waan1〔彎〕,第一學習階段,,2,台灣、海灣
2366,火,火,4,huǒ,fo2〔伙〕,第一學習階段,①火星比地球還小 ②打鐵迸出火星,27,火力、火山、火光、火災、火車、火花、火星、火炬、火柴、火焰、火熱、火箭、火藥、火爐、火警、山火、失火、放火、怒火、炮火、烈火、滅火、滅火筒、戰火、燈火、螢火蟲、着火
2367,灰,火,6,huī,fui1〔恢〕,第二學習階段,,4,灰心、灰色、灰塵、灰燼
2369,灼,火,7,zhuó,zoek3〔雀〕,第二學習階段,,1,灼傷
2370,災,火,7,zɑ̄i,zoi1〔哉〕,第一學習階段,,9,災民、災害、災區、災情、災難、水災、火災、救災、賑災
2371,灸,火,7,jiǔ,gau3〔究〕,第二學習階段,,1,針灸
2373,炎,火,8,yɑ́n,jim4〔嫌〕,第一學習階段,,3,炎熱、肺炎、發炎
2374,炒,火,8,chɑ̌o,caau2〔吵〕,第一學習階段,,0,
2376,炙,火,8,zhì,zek3〔隻〕,第二學習階段,,1,炙手可熱
2377,炫,火,9,xuɑ̀n,jyun4〔原〕,第二學習階段,,1,炫耀
2378,為,火,9,wèi；wéi,wai6〔位〕；wai4〔圍〕,第一學習階段,①作為 ②因為,24,為了、為人、為止、為主、為何、為甚麼、為什麼、為首、為期、為難、為着、人為、不以為然、以為、因為、成為、行為、作為、無能為力、稍為、極為、認為、歎為觀止、鮮為人知
2380,炬,火,9,jù,geoi6〔具〕,第二學習階段,,1,火炬
2382,炭,火,9,tɑ̀n,taan3〔歎〕,第一學習階段,,1,煤炭
2383,炸,火,9,zhɑ́；zhɑ̀,zaa3〔榨〕,第一學習階段,①炸油條 ②爆炸,5,炸彈、炸藥、油炸鬼、油條、爆炸
2384,炮,火,9,pɑ̀o,paau3〔豹〕,第二學習階段,,3,炮火、炮彈、鞭炮
2386,烘,火,10,hōng,hung3〔控〕,第一學習階段,,2,蛋撻、蛋餡烘餅
2387,烤,火,10,kɑ̌o,haau1〔敲〕；haau2〔考〕,第一學習階段,,4,多士、烤麪包、吐司、燒烤
2388,烈,火,10,liè,lit6〔列〕,第一學習階段,,9,烈士、烈火、強烈、猛烈、劇烈、熱烈、濃烈、激烈、興高采烈
2390,烏,火,10,wū,wu1〔污〕,第一學習階段,,2,烏雲、烏鴉
2391,烹,火,11,pēng,paang1〔彭1〕,第二學習階段,,2,烹飪、烹調
2396,焚,火,12,fén,fan4〔墳〕,第二學習階段,,2,焚化、焚燒
2397,煮,火,12,zhǔ,zyu2〔主〕,第一學習階段,,0,
2398,焦,火,12,jiɑ̄o,ziu1〔招〕,第二學習階段,,2,焦急、焦點
2399,焰,火,12,yɑ̀n,jim6〔驗〕,第二學習階段,,1,火焰
2400,無,火,12,wú,mou4〔毛〕,第二學習階段,,45,無力、無上、無心、無比、無可奈何、無形、無形中、無私、無奈、無所適從、無所謂、無知、無限、無家可歸、無恥、無效、無能為力、無動於中、無動於衷、無從、無情、無聊、無辜、無須、毋須、無微不至、無意、無疑、無數、無窮、無線、無線電、無論、無論如何、無懈可擊、無濟於事、無關、一事無成、一無所知、大無畏、史無前例、忍無可忍、束手無策、毫無、獨一無二
2401,然,火,12,rɑ́n,jin4〔言〕,第一學習階段,①態度自然 ②只要努力，自然會成功,38,然而、然後、一目了然、大自然、不以為然、不然、仍然、天然、天然氣、必然、安然、自然、自然界、自然科學、依然、固然、居然、忽然、果然、恍然、既然、突然、若然、要不然、盎然、茫然、偶然、猛然、理所當然、竟然、煥然一新、當然、毅然、默然、縱然、雖然、黯然、顯然
2402,煎,火,13,jiɑ̄n,zin1〔箋〕,第二學習階段,,0,
2403,煙,火,13,yɑ̄n,jin1〔焉1〕,第一學習階段,①香煙售價 ②香煙繚繞,7,煙花、煙草、煙霧、煙囱、抽煙、吸煙、香煙
2404,煩,火,13,fɑ́n,faan4〔凡〕,第一學習階段,,3,煩惱、耐煩、麻煩
2405,煤,火,13,méi,mui4〔梅〕,第一學習階段,,1,煤炭
2406,煉,火,13,liɑ̀n,lin6〔練〕,第一學習階段,,1,鍛煉
2407,照,火,13,zhɑ̀o,ziu3〔詔〕,第一學習階段,①依設計圖照樣做 ②照樣上班,19,照片、照例、照明、照相、照射、照料、照常、照樣、照耀、照顧、仿照、合照、依照、拍照、按照、執照、對照、遵照、護照
2412,煌,火,13,huɑ́ng,wong4〔王〕,第二學習階段,,2,金碧輝煌、輝煌
2413,煥,火,13,huɑ̀n,wun6〔換〕,第二學習階段,,1,煥然一新
2414,煞,火,13,shɑ̀；shɑ̄,saat3〔殺〕,第一學習階段,,2,煞車、剎車
2415,熔,火,14,róng,jung4〔容〕,第二學習階段,,1,熔化
2418,熊,火,14,xióng,hung4〔紅〕,第一學習階段,,2,熊熊、大熊貓
2419,熄,火,14,xī,sik1〔色〕,第一學習階段,,1,熄滅
2420,熟,火,15,shú；shóu,suk6〔屬〕,第一學習階段,,7,熟悉、熟習、熟睡、熟練、成熟、耳熟能詳、純熟
2421,熬,火,15,ɑ́o,ngou4〔敖〕,第二學習階段,,0,
2422,熱,火,15,rè,jit6〔孽〕,第一學習階段,,21,熱心、熱血、熱忱、熱門、熱烈、熱帶、熱情、熱淚、熱量、熱愛、熱潮、熱鬧、火熱、狂熱、受熱、炎熱、炙手可熱、悶熱、發熱、酷熱、熾熱
2424,熾,火,16,chì,ci3〔次〕,第二學習階段,,1,熾熱
2427,燙,火,16,tɑ̀ng,tong3〔趟〕,第二學習階段,,0,
2428,燒,火,16,shɑ̄o,siu1〔消〕,第一學習階段,,6,燒烤、燒毀、叉燒、焚燒、發燒、燃燒
2429,燈,火,16,dēng,dang1〔登〕,第一學習階段,,12,燈火、燈光、燈泡、電燈泡、燈塔、燈飾、燈籠、花燈、紅綠燈、紅燈、電燈、綵燈
2430,燕,火,16,yɑ̀n,jin3〔宴〕,第一學習階段,,1,燕子
2434,燃,火,16,rɑ́n,jin4〔言〕,第二學習階段,,7,燃料、燃燒、摩打、摩托、馬達、內燃機、點燃
2437,營,火,17,yíng,jing4〔形〕,第一學習階段,,8,營房、營造、營業、營運、運營、營養、宿營、經營
2439,燦,火,17,cɑ̀n,caan3〔璨〕,第一學習階段,,1,燦爛
2440,燥,火,17,zɑ̀o,cou3〔醋〕,第二學習階段,,2,枯燥、乾燥
2441,燭,火,17,zhú,zuk1〔竹〕,第一學習階段,,2,燭光、蠟燭
2445,爆,火,19,bɑ̀o,baau3〔包3〕,第二學習階段,,4,爆炸、爆破、爆發、爆竊
2446,爍,火,19,shuò,soek3〔削〕,第二學習階段,,1,閃爍
2447,爐,火,20,lú,lou4〔勞〕,第一學習階段,,2,爐子、火爐
2448,爛,火,21,lɑ̀n,laan6〔懶6〕,第一學習階段,,4,爛尾、破爛、腐爛、燦爛
2450,爪,爪,4,zhɑ̌o；zhuɑ̌,zaau2〔找〕,第一學習階段,①爪牙 ②貓爪子,1,八爪魚
2451,爬,爪,8,pɑ́,paa4〔扒〕,第一學習階段,,2,爬山、爬行
2452,爭,爪,8,zhēng,zang1〔增〕,第一學習階段,,13,爭光、爭先恐後、爭吵、爭取、爭執、爭奪、爭論、爭議、力爭、紛爭、鬥爭、戰爭、競爭
2454,爵,爪,17,jué,zoek3〔雀〕,第二學習階段,,1,爵士
2455,父,父,4,fù,fu6〔付〕,第一學習階段,,15,父母、父親、外祖父、伯父、叔父、岳父、祖父、神父、曾祖父、義父、誼父、舅父、舅舅、繼父、後父
2456,爸,父,8,bɑ̀,baa1〔巴〕,第一學習階段,,1,爸爸
2458,爺,父,13,yé,je4〔耶〕,第一學習階段,,2,爺爺、老爺
2460,爽,爻,11,shuɑ̌ng,song2〔桑2〕,第一學習階段,,4,爽快、爽朗、涼爽、清爽
2461,爾,爻,14,ěr,ji5〔已〕,第一學習階段,,6,哥爾夫球、高爾夫球、偶爾、偶而、荷爾蒙、激素
2462,牀,爿,8,chuɑ́ng,cong4〔藏〕,第一學習階段,,5,牀位、牀褥、河牀、起牀、臨牀
2463,牆,爿,17,qiɑ́ng,coeng4〔場〕,第一學習階段,,2,牆壁、圍牆
2464,片,片,4,piɑ̄n；piɑ̀n,pin3〔騙〕,第一學習階段,①片子 ②一片、片刻,18,片刻、片段、片斷、片面、一片、卡片、名片、底片、相片、唱片（兒）、唱碟、照片、碎片、葉片、圖片、影片、鴉片、薯片
2465,版,片,8,bɑ̌n,baan2〔闆〕,第一學習階段,,5,版畫、版圖、版權、出版、排版
2466,牌,片,12,pɑ́i,paai4〔排〕,第一學習階段,,8,牌子、名牌、招牌、金牌、冒牌、銀牌、銅牌、獎牌
2470,牙,牙,4,yɑ́,ngaa4〔衙〕,第一學習階段,,5,牙刷、牙膏、牙齒、咬牙、蛀牙
2471,牛,牛,4,niú,ngau4〔偶4〕,第一學習階段,,8,牛奶、牛油、黃油、牛郎、牛痘、水牛、犀牛、蝸牛
2474,牢,牛,7,lɑ́o,lou4〔勞〕,第二學習階段,,3,牢固、牢房、牢騷
2475,牡,牛,7,mǔ,maau5〔貓5〕,第二學習階段,,1,牡丹
2476,牠,牛,7,tɑ̄,taa1〔他〕,第一學習階段,,1,牠們
2477,牧,牛,8,mù,muk6〔木〕,第一學習階段,,4,牧民、牧師、牧場、畜牧
2478,物,牛,8,wù,mat6〔密〕,第二學習階段,①他不是廢物 ②廢物利用,42,物件、物品、物理、物產、物業、物資、物價、物質、物體、人物、仁民愛物、文物、刊物、生物、衣物、事物、怪物、食物、財物、動物、動物園、產物、貨物、博物館、景物、植物、萬物、農作物、作物、飾物、實物、廢物、穀物、獵物、禮物、雜物、寵物、藥物、礦物、礦物質、贓物、讀物
2479,牲,牛,9,shēng,sang1〔生〕,第二學習階段,,2,畜牲、犧牲
2482,特,牛,10,tè,dak6〔得6〕,第一學習階段,,21,特地、特有、特色、特別、特定、特性、特殊、特務、特區、特產、特製、特價、特徵、特質、特輯、特點、特警、伏特、奇特、模特兒、獨特
2483,牽,牛,11,qiɑ̄n,hin1〔掀〕,第一學習階段,,1,牽動
2486,犀,牛,12,xī,sai1〔西〕,第二學習階段,,1,犀牛
2491,犧,牛,20,xī,hei1〔希〕,第二學習階段,,1,犧牲
2492,犬,犬,4,quɑ̌n,hyun2〔圈2〕,第一學習階段,,0,
2493,犯,犬,5,fɑ̀n,faan6〔飯〕,第二學習階段,,7,犯人、犯規、犯罪、囚犯、侵犯、罪犯、疑犯
2495,狂,犬,7,kuɑ́ng,kwong4〔誇昂4〕,第一學習階段,,3,狂風、狂熱、瘋狂
2496,狀,犬,8,zhuɑ̀ng,zong6〔撞〕,第一學習階段,,7,狀元、狀況、狀態、形狀、症狀、現狀、徵狀
2499,狗,犬,8,gǒu,gau2〔久〕,第一學習階段,,0,
2500,狐,犬,8,hú,wu4〔胡〕,第一學習階段,,1,狐狸
2502,狡,犬,9,jiɑ̌o,gaau2〔皎〕,第一學習階段,,1,狡猾
2503,狠,犬,9,hěn,han2〔很〕,第二學習階段,,2,狠心、狠狠
2504,狼,犬,10,lɑ́ng,long4〔郎〕,第一學習階段,,1,狼狽
2505,狹,犬,10,xiɑ́,haap6〔峽〕；haap3〔峽3〕,第一學習階段,,3,狹小、狹窄、狹隘
2506,狽,犬,10,bèi,bui3〔貝〕,第二學習階段,,1,狼狽
2507,狸,犬,10,lí,lei4〔梨〕,第一學習階段,,1,狐狸
2509,猜,犬,11,cɑ̄i,caai1〔差〕,第一學習階段,,2,猜測、猜想
2510,猛,犬,11,měng,maang5〔蜢〕,第一學習階段,,3,猛烈、猛然、兇猛
2513,猶,犬,12,yóu,jau4〔尤〕,第二學習階段,,3,猶如、猶豫、猶疑
2516,猴,犬,12,hóu,hau4〔喉〕,第一學習階段,,2,猴子、馬騮
2518,猿,犬,13,yuɑ́n,jyun4〔元〕,第二學習階段,,0,
2519,猾,犬,13,huɑ́,waat6〔滑〕,第一學習階段,,1,狡猾
2520,獅,犬,13,shī,si1〔司〕,第一學習階段,,3,獅子、舞獅、醒獅
2521,獄,犬,14,yù,juk6〔玉〕,第二學習階段,,2,地獄、監獄
2523,獎,犬,15,jiɑ̌ng,zoeng2〔掌〕,第二學習階段,,11,獎券、獎杯、獎金、獎品、獎章、獎牌、獎項、獎學金、獎勵、頒獎、頭獎
2525,獨,犬,16,dú,duk6〔毒〕,第二學習階段,,13,獨一無二、獨白、獨立、獨自、獨奏、獨特、不獨、匠心獨運、孤獨、唯獨、惟獨、得天獨厚、單獨
2527,獲,犬,17,huò,wok6〔穫〕,第一學習階段,,10,獲得、獲悉、獲勝、抓獲、查獲、破獲、接獲、榮獲、擒獲、檢獲
2529,獵,犬,18,liè,lip6〔躐〕,第一學習階段,,3,獵人、獵物、打獵
